Wall time,Step,Value
1745106769.967238,49,0.28515625
1745106773.5207934,99,0.515625
1745106777.078735,149,0.66015625
1745106780.6041543,199,0.8046875
1745106784.1461177,249,0.88671875
1745106787.6804845,299,0.951171875
1745106791.2001464,349,0.94921875
1745106803.1295788,399,0.95703125
1745106806.6753259,449,0.98046875
1745106810.2345812,499,0.970703125
1745106813.7709634,549,0.98828125
1745106817.3222604,599,0.986328125
1745106820.8706176,649,0.984375
1745106824.4000752,699,0.98828125
1745106827.9049556,749,0.9921875
1745106839.9011052,799,0.9921875
1745106843.4478343,849,0.9921875
1745106846.9980118,899,0.99609375
1745106850.549891,949,0.998046875
1745106854.0921206,999,0.99609375
1745106857.653259,1049,0.99609375
1745106861.1793053,1099,1.0
1745106864.70155,1149,0.99609375
1745106876.4230235,1199,0.994140625
1745106879.9697034,1249,0.9921875
1745106883.5213645,1299,0.998046875
1745106887.078811,1349,1.0
1745106890.6311562,1399,0.9921875
1745106894.1846957,1449,1.0
1745106897.7073965,1499,0.990234375
1745106901.2284758,1549,1.0
1745106913.979643,1599,1.0
1745106917.5204,1649,0.994140625
1745106921.0631163,1699,0.994140625
1745106924.6123068,1749,0.998046875
1745106928.177858,1799,0.99609375
1745106931.7151387,1849,0.994140625
1745106935.2317572,1899,0.99609375
1745106938.7474313,1949,1.0
1745106953.3544488,1999,1.0
1745106956.8932688,2049,0.99609375
1745106960.437676,2099,1.0
1745106963.9936807,2149,0.99609375
1745106967.5342574,2199,1.0
1745106971.0559387,2249,1.0
1745106974.5960152,2299,0.99609375
1745106988.98607,2349,1.0
1745106992.5759938,2399,1.0
1745106996.1303012,2449,1.0
1745106999.6850634,2499,0.99609375
1745107003.2325568,2549,1.0
1745107006.7771804,2599,1.0
1745107010.3190856,2649,1.0
1745107013.8278224,2699,0.99609375
1745107026.924572,2749,1.0
1745107030.483971,2799,1.0
1745107034.0487545,2849,0.99609375
1745107037.6174533,2899,1.0
1745107041.1716585,2949,0.994140625
1745107044.734206,2999,1.0
1745107048.2479353,3049,1.0
1745107051.7625842,3099,1.0
1745107064.0173912,3149,1.0
1745107067.5884564,3199,1.0
1745107071.129081,3249,1.0
1745107074.6684132,3299,0.994140625
1745107078.2420723,3349,0.998046875
1745107081.7843971,3399,1.0
1745107085.3186657,3449,1.0
1745107088.8490047,3499,1.0
1745107101.4588609,3549,1.0
1745107105.0013409,3599,1.0
1745107108.5522676,3649,1.0
1745107112.0955944,3699,1.0
1745107115.6635027,3749,1.0
1745107119.188964,3799,1.0
1745107122.737954,3849,1.0
1745107126.2474816,3899,1.0
1745107141.6788468,3949,1.0
1745107145.230368,3999,0.998046875
1745107148.7922218,4049,1.0
1745107152.3308804,4099,1.0
1745107155.8726852,4149,1.0
1745107159.4019623,4199,1.0
1745107162.9213488,4249,1.0
1745107175.7191296,4299,1.0
1745107179.2534838,4349,1.0
1745107182.8146098,4399,1.0
1745107186.356781,4449,1.0
1745107189.899283,4499,1.0
1745107193.4557483,4549,0.99609375
1745107196.977813,4599,0.99609375
1745107200.5032055,4649,1.0
1745107212.32038,4699,1.0
1745107215.8733664,4749,0.99609375
1745107219.4201374,4799,1.0
1745107222.9859698,4849,1.0
1745107226.5266175,4899,1.0
1745107230.0673125,4949,0.99609375
1745107233.6208236,4999,0.99609375
1745107237.1571784,5049,0.994140625
1745107250.197918,5099,1.0
1745107253.760749,5149,1.0
1745107257.3065476,5199,1.0
1745107260.8624508,5249,1.0
1745107264.416592,5299,1.0
1745107267.9570913,5349,1.0
1745107271.4711103,5399,1.0
1745107274.9808478,5449,1.0
1745107286.913113,5499,1.0
1745107290.4722333,5549,1.0
1745107294.0234606,5599,1.0
1745107297.5724857,5649,1.0
1745107301.1197646,5699,1.0
1745107304.656558,5749,1.0
1745107308.1787903,5799,1.0
1745107311.6907954,5849,1.0
1745107326.4806905,5899,1.0
1745107330.053985,5949,0.99609375
1745107333.595282,5999,1.0
1745107337.1297045,6049,1.0
1745107340.6768584,6099,1.0
1745107344.2136266,6149,0.998046875
1745107347.7321172,6199,1.0
1745107360.799391,6249,0.998046875
1745107364.3430712,6299,1.0
1745107367.907388,6349,1.0
1745107371.476383,6399,1.0
1745107375.0287619,6449,0.99609375
1745107378.5986686,6499,1.0
1745107382.1326475,6549,1.0
1745107385.660139,6599,0.998046875
1745107398.2813284,6649,1.0
1745107401.8266857,6699,1.0
1745107405.3764398,6749,0.998046875
1745107408.941844,6799,1.0
1745107412.4961078,6849,1.0
1745107416.0550935,6899,1.0
1745107419.580274,6949,1.0
1745107423.0970407,6999,1.0
1745107435.3607903,7049,1.0
1745107438.8991792,7099,1.0
1745107442.4468448,7149,1.0
