Wall time,Step,Value
1745106769.9671423,49,0.138671875
1745106773.5206604,99,0.263671875
1745106777.0786705,149,0.388671875
1745106780.60408,199,0.609375
1745106784.1460497,249,0.740234375
1745106787.680419,299,0.83984375
1745106791.2000804,349,0.869140625
1745106803.1294203,399,0.87890625
1745106806.6752365,449,0.9140625
1745106810.234516,499,0.9296875
1745106813.7708802,549,0.939453125
1745106817.3221817,599,0.958984375
1745106820.8705497,649,0.94140625
1745106824.4000044,699,0.939453125
1745106827.9048963,749,0.951171875
1745106839.90099,799,0.966796875
1745106843.4477727,849,0.9609375
1745106846.9979334,899,0.97265625
1745106850.5498254,949,0.962890625
1745106854.0920172,999,0.974609375
1745106857.6531966,1049,0.990234375
1745106861.1792343,1099,0.98046875
1745106864.7014782,1149,0.982421875
1745106876.422743,1199,0.974609375
1745106879.9696412,1249,0.978515625
1745106883.5213044,1299,0.994140625
1745106887.078749,1349,0.982421875
1745106890.6310809,1399,0.978515625
1745106894.1846192,1449,0.990234375
1745106897.707304,1499,0.984375
1745106901.2284122,1549,0.982421875
1745106913.9794786,1599,0.9921875
1745106917.520332,1649,0.986328125
1745106921.0630112,1699,0.98046875
1745106924.612246,1749,0.98828125
1745106928.1777778,1799,0.978515625
1745106931.7150736,1849,0.984375
1745106935.23169,1899,0.9921875
1745106938.7473638,1949,0.99609375
1745106953.3543167,1999,0.990234375
1745106956.8932102,2049,0.994140625
1745106960.437612,2099,0.99609375
1745106963.993597,2149,0.99609375
1745106967.5341792,2199,0.998046875
1745106971.055846,2249,0.99609375
1745106974.5959363,2299,0.990234375
1745106988.9859517,2349,0.9921875
1745106992.5759327,2399,0.9921875
1745106996.1301928,2449,0.98828125
1745106999.684982,2499,0.990234375
1745107003.2324927,2549,1.0
1745107006.7771077,2599,1.0
1745107010.3190043,2649,1.0
1745107013.8277638,2699,0.9765625
1745107026.9243789,2749,0.9921875
1745107030.4839065,2799,1.0
1745107034.048671,2849,0.990234375
1745107037.617339,2899,0.990234375
1745107041.1715887,2949,0.9921875
1745107044.734145,2999,0.998046875
1745107048.2478602,3049,0.98828125
1745107051.7624953,3099,1.0
1745107064.0172205,3149,0.994140625
1745107067.5883894,3199,0.99609375
1745107071.1290097,3249,0.9921875
1745107074.6683471,3299,0.98828125
1745107078.2419903,3349,0.99609375
1745107081.7843382,3399,1.0
1745107085.3185952,3449,0.998046875
1745107088.8489406,3499,0.994140625
1745107101.458716,3549,0.994140625
1745107105.0012836,3599,0.994140625
1745107108.5522106,3649,0.994140625
1745107112.0955338,3699,0.9921875
1745107115.6634438,3749,0.99609375
1745107119.1888945,3799,0.998046875
1745107122.7378535,3849,0.998046875
1745107126.2474263,3899,1.0
1745107141.6786702,3949,0.99609375
1745107145.230282,3999,0.9921875
1745107148.7921531,4049,0.99609375
1745107152.3308115,4099,1.0
1745107155.8726053,4149,1.0
1745107159.40189,4199,1.0
1745107162.9212875,4249,0.99609375
1745107175.7189703,4299,1.0
1745107179.2534192,4349,1.0
1745107182.8145452,4399,0.99609375
1745107186.3567111,4449,0.99609375
1745107189.899213,4499,0.9921875
1745107193.455688,4549,0.990234375
1745107196.977753,4599,0.994140625
1745107200.5031323,4649,0.99609375
1745107212.3202395,4699,0.986328125
1745107215.873299,4749,0.994140625
1745107219.42006,4799,0.998046875
1745107222.9858954,4849,1.0
1745107226.5265512,4899,0.994140625
1745107230.067247,4949,0.99609375
1745107233.620721,4999,0.99609375
1745107237.157113,5049,0.9921875
1745107250.1977434,5099,0.994140625
1745107253.7606833,5149,0.998046875
1745107257.3064706,5199,0.998046875
1745107260.8623934,5249,1.0
1745107264.4165287,5299,1.0
1745107267.957016,5349,0.99609375
1745107271.4710078,5399,1.0
1745107274.980769,5449,1.0
1745107286.9128962,5499,0.998046875
1745107290.4720888,5549,0.998046875
1745107294.0233974,5599,0.998046875
1745107297.5724206,5649,0.994140625
1745107301.119692,5699,0.998046875
1745107304.6564999,5749,1.0
1745107308.1787257,5799,0.998046875
1745107311.6907356,5849,1.0
1745107326.4804947,5899,0.998046875
1745107330.0539196,5949,0.99609375
1745107333.5952048,5999,1.0
1745107337.1296136,6049,0.998046875
1745107340.6768003,6099,0.99609375
1745107344.2135527,6149,0.9921875
1745107347.7320552,6199,0.99609375
1745107360.7992105,6249,0.98828125
1745107364.3429816,6299,1.0
1745107367.907323,6349,0.998046875
1745107371.4763033,6399,1.0
1745107375.0286975,6449,0.99609375
1745107378.598604,6499,0.998046875
1745107382.1325827,6549,0.998046875
1745107385.660075,6599,0.994140625
1745107398.2811728,6649,1.0
1745107401.8266196,6699,0.998046875
1745107405.3763776,6749,0.99609375
1745107408.9417813,6799,0.998046875
1745107412.4960256,6849,0.998046875
1745107416.055008,6899,1.0
1745107419.5802035,6949,1.0
1745107423.0969718,6999,0.994140625
1745107435.3606393,7049,0.99609375
